2016-11-11T15:14:33Z,"What Will President Trump Do on Birth Control, Climate and Immigration?",By JONAH ENGEL BROMWICH,Anticipating what policies Donald J. Trump will try to put in place after Inauguration Day is best done by taking his campaign promises seriously.
2016-11-11T08:21:04Z,Trump’s Economic Prescription. First: Do Harm.,By STEVEN RATTNER,"Plans for tariffs, tax breaks and immigration could push up inflation, shift more money to the wealthy, increase deficits and cost blue-collar jobs."
2016-11-10T21:01:28Z,Comparing Health Systems: The U.S. and the Rest,NA,"Readers discuss an Upshot article about access to care in the United States, Canada and other countries."
2016-11-10T20:46:44Z,President-Elect Trump Means Angst for 'Obamacare' Consumers,By THE ASSOCIATED PRESS,"Donald Trump's election ushers in a time of high anxiety for people with health insurance under President Barack Obama's law, which expanded coverage to millions but has struggled to find widespread public acceptance."
2016-11-10T19:18:31Z,White House Says Obamacare Enrollment a Priority,By REUTERS,"Getting more Americans to enroll for health insurance under President Barack Obama's healthcare law known as Obamacare is a top priority of his administration until President-elect Donald Trump takes office on Jan. 20, the White House said on Thursday."
2016-11-10T18:42:32Z,"Investors, Economists Brace for New Dangerous Game: Parsing Trump's Words",By REUTERS,"Move over, Janet Yellen. The Federal Reserve chief has a challenger for the title of speaker most scrutinized by Wall Street, and it's Donald Trump. "
2016-11-10T16:48:32Z,Aetna CEO Expects Some ACA Benefits to Stay: Dealbook Conference,By REUTERS,"Aetna Inc Chief Executive Officer Mark Bertolini said he expected some benefits of President Barack Obama's national healthcare reform law will stick under President-elect Donald Trump, like allowing young adults to stay on their family's health insurance."
2016-11-10T16:21:32Z,Are There Limits to Trump’s Power?,By ERIC POSNER,"With G.O.P. majorities in Congress, his authority is great."
2016-11-10T13:51:26Z,What Democrats Need to Do,By DAVID LEONHARDT,Offer to work on sensible compromises — but be ready to make clear the consequences of a radical agenda.
2016-11-10T11:12:32Z,Trump Promised to Repeal Obamacare. Now What?,By REUTERS,"Republican President-elect Donald Trump vowed on the campaign trail to repeal Obamacare, but making good on that promise may be easier said than done."
2016-11-10T10:00:27Z,Donald Trump in the White House: Will He Bring Steve Bannon With Him?,"By CARL HULSE, JULIE HIRSCHFELD DAVIS, MICHAEL D. SHEAR and ERIC LICHTBLAU","The Obamas welcome the Trumps to the White House, speculation ramps up about Washington’s new lineup, and other things we’re watching as the transition begins."
2016-11-10T08:03:36Z,Drug Firm AstraZeneca Sees 3rd Quarter Earnings Fall 12 Pct,By THE ASSOCIATED PRESS,Anglo-Swedish drugmaker AstraZeneca said Thursday that its third-quarter earnings fell 12 percent as its blockbuster cholesterol drug Crestor faced its first full quarter of competition in the United States from generic alternatives.
2016-11-10T07:27:30Z,AstraZeneca Sees Big Healthcare Changes Under Trump,By REUTERS,Drugmaker AstraZeneca expects major U.S. healthcare changes after Donald Trump's election victory but its chief executive warned on Thursday that pricing pressures in the world's biggest drugs market would not go away.
2016-11-10T06:48:45Z,Asian Shares Give Up Early Gains on Surging US Bond Yields,By THE ASSOCIATED PRESS,"Asian shares gave up early gains on Friday as expectations that Donald Trump's policies on trade might fuel inflation, pushing bond yields sharply higher. The dollar surged against the Japanese yen."
2016-11-10T06:18:39Z,"Tough Reality Check for Trump's Pledge of Better Heartland Jobs, Wages",By REUTERS,By Howard Schneider
2016-11-09T23:27:29Z,Fractured Republicans Come Together in Face of Trump Triumph,By REUTERS,One immediate consequence of Donald Trump&#8217;s stunning victory in the U.S. presidential race is that the identity crisis that convulsed the Republican Party during his tumultuous candidacy has been resolved.
2016-11-09T23:24:28Z,Minimum Wage Hikes in Four States Show Path for Labor Under Trump,By REUTERS,"Voters in four states raised minimum wages on Tuesday even as Republicans who oppose such increases won nationally, indicating that workers may still be able to improve compensation at the expense of restaurants, retailers and other employers."
2016-11-09T22:07:51Z,Mitch McConnell Congratulates Trump,By REUTERS,"Senator Mitch McConnell of Kentucky, the majority leader, said working with Donald J. Trump to repeal Obamacare is a “pretty high item on our agenda.”"
2016-11-09T21:23:59Z,Gritting Our Teeth and Giving President Trump a Chance,By NICHOLAS KRISTOF,"We need to be watchdogs, not lap dogs."
2016-11-09T20:06:45Z,Senate's McConnell Says Obamacare Repeal High on Agenda,By REUTERS,"Republican Senate Majority Leader Mitch McConnell said repealing the Obamacare health insurance system is a ""pretty high item on our agenda"" for the new Congress that was elected on Tuesday, calling it the ""single worst piece of legislation"" from the first two years of the Obama administration."
2016-11-09T19:29:41Z,6 Books to Help Understand Trump’s Win,By THE NEW YORK TIMES,Our critics and reviewers on books that analyze the shifts that drove one of the most stunning political upsets in the nation’s history.
2016-11-09T16:49:07Z,Speaker Ryan Pledges to Work With Trump on Bold Agenda,By REUTERS,"U.S. House of Representatives Speaker Paul Ryan, who sparred with Donald Trump at times during his presidential campaign, pledged on Wednesday to work closely with the president-elect to forge an aggressive Republican legislative agenda from the outset of 2017."
2016-11-09T11:00:45Z,10 Things to Know for Thursday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Thursday:"
2016-11-09T11:00:22Z,The Future of Obamacare Looks Bleak,By MARGOT SANGER-KATZ,A plausible scenario would result in 22 million fewer Americans having health insurance.
2016-11-09T10:53:22Z,Absorbing the Impossible,By MAUREEN DOWD,My Republican brother walked me through the shocker of Donald Trump’s election.
2016-11-09T09:45:32Z,Factbox: Wall St. Analysts' Calls on U.S. Stocks After Trump Win,By REUTERS,"Republican Donald Trump became the 45th&#160;president of the United States on Tuesday, after a hard-fought race with Democrat Hillary Clinton."
2016-11-09T08:36:37Z,"Factbox: Top Goals for President Trump, Hurdles in Front of Him",By REUTERS,"Republican Donald Trump campaigned on a promise to shake up Washington and as president the brash real estate mogul will be in a position to dramatically change how the United States handles immigration, trade and a range of other policies."
2016-11-09T08:33:39Z,"Trump, U.S. Congress Will Agree on Some Issues, Long-Term Questions Loom",By REUTERS,"President-elect Donald Trump will have an early Capitol Hill honeymoon with Republican majorities in both chambers of Congress when he takes office in January, but a long-term romance may be more challenging."
2016-11-09T07:57:40Z,Trump Rewrote Political Playbook in Successful White House Bid,By REUTERS,"Donald Trump's successful campaign for the White House broke every tradition and upended the political establishment with the same bluster, hyperbole and media mastery that made him one of the world's best-known businessmen."
2016-11-09T05:24:32Z,Republicans Defend Grip on U.S. Congress as Trump Wins Presidency,By REUTERS,"Republicans maintained their majorities in both chambers of the U.S. Congress in a momentous election on Tuesday in which Republican Donald Trump won the presidency, empowering the party to reshape Washington."
2016-11-09T05:00:46Z,"Clinton, Obama Pledge Unity Behind Trump Presidency",By REUTERS,Republican Donald Trump put aside the celebrations and focused on Wednesday on his 73-day transition to the White House as rival Hillary Clinton promised to bury the bitterness of their long presidential race and work to unify a divided country.
2016-11-08T23:33:27Z,"Newly Insured by Obamacare, Yet Unlikely to Vote",By MARGOT SANGER-KATZ,Finally having health insurance probably will not turn longtime nonvoters into voters.
2016-11-07T17:29:55Z,Harry Belafonte: What Do We Have to Lose? Everything,By HARRY BELAFONTE,Donald Trump and his “movement” put the painfully obtained gains of the civil rights movement in jeopardy.
2016-11-07T12:30:06Z,A Doctor Shortage? Let’s Take a Closer Look,By AARON E. CARROLL,Evidence suggests that the nation’s medical system is not so much understaffed as it is inefficient.
2016-11-07T11:09:32Z,Democrats See FBI Controversy Hurting Chances in U.S. Congress Races,By REUTERS,Senior Democrats said on Monday their chances of winning control of the U.S. House of Representatives had been hurt by the FBI's surprise announcement last month that Hillary Clinton's email practices were again figuring in a federal investigation.
2016-11-07T10:00:34Z,Notes on the U.S. Election: A Measure of America’s Fever,By DECLAN WALSH,Hillary Clinton and Donald J. Trump’s gallop down the home straight of this bitterly contentious race has revealed more than just a snapshot of America.
2016-11-07T01:58:21Z,"Beyond White House Race, Host of Issues on the Ballot",By ADAM NAGOURNEY,"As the 2016 campaign rumbles into its final hours, there are other things going on around the country on Election Day almost as important as the White House race."
2016-11-06T17:25:54Z,Inside Donald Trump’s Last Stand: An Anxious Nominee Seeks Assurance,"By MAGGIE HABERMAN, ASHLEY PARKER, JEREMY W. PETERS and MICHAEL BARBARO",Behind the show of confidence orchestrated by Mr. Trump’s staff are the neediness and vulnerability of a once-boastful candidate uncertain of victory.
2016-11-06T12:09:28Z,"Amid Scandal, Bluster and Insults, Trump Closes In on White House",By REUTERS,"Supercharging the bluster, hyperbole and media mastery that made him one of the world's best-known businessmen, Donald Trump upended U.S. democratic traditions on a 17-month quest he hopes will lead to the White House.       "
2016-11-05T19:12:32Z,"Pence, Ryan Urge Republicans to 'Come Home' for Trump",By THE ASSOCIATED PRESS,"House Speaker Paul Ryan and Donald Trump's running mate, Mike Pence, joined Saturday in a gesture of Republican unity at a rally in Wisconsin's most conservative county, a month after Ryan said he would no longer defend or campaign with Trump."
2016-11-05T16:12:31Z,Security Scare for Trump in Frenzied Final Days of Campaigning,By REUTERS,"Republican Donald Trump was rushed off stage by security agents  at a rally in Reno, Nevada, on Saturday night after a perceived security threat as he and Democrat Hillary Clinton swept across states that could prove decisive in Tuesday's presidential election."
2016-11-05T12:06:31Z,"Fate of Obama Legacy Initiatives in Hands of Courts, Successor",By REUTERS,"When President Barack Obama leaves office on Jan. 20 after eight years, several of his major initiatives will still hang in the legal balance, meaning the U.S. courts and his successor will play a major role in shaping his legacy."
2016-11-05T03:20:56Z,"Presidential Election: A Closing Act, With Clinton, Trump and a Tiny ‘Future Construction Worker’",By JONATHAN MARTIN and ALAN RAPPEPORT,"Hillary Clinton and Donald J. Trump campaigned in Florida, with Mrs. Clinton basking in the rain and Mr. Trump sharing the stage with a (very) young fan."
2016-11-04T17:16:08Z,A Public Option for Health Care,NA,A former editor in chief of The New England Journal of Medicine explains foreseeable negative consequences.
2016-11-04T13:00:14Z,See Obamacare Rates for Every County in the Country,By MARGOT SANGER-KATZ,"Prices are rising by an average of 22 percent for a popular plan type. Not all customers will be affected, but millions will feel the sting."
2016-11-03T18:30:45Z,"From Sliced Bread to Gas Prices, Obama Takes Stump Speech Off Script",By GARDINER HARRIS,"With every rally, President Obama has been adding another aside to a stump speech touting his record, condemning Donald J. Trump and praising Hillary Clinton."
2016-11-03T14:15:55Z,US Services Companies Grew at Slower Pace in October,By THE ASSOCIATED PRESS,"U.S. services companies grew at a slower pace in October, although the economy appears poised to continue expanding."
2016-11-03T04:19:31Z,CDC: Progress Reducing Uninsured Rate Threatens to Stall,By THE ASSOCIATED PRESS,"With deep divisions over President Barack Obama's health care law reappearing in the election's final days, a government report shows that progress in reducing the number of uninsured Americans has slowed to a crawl."
2016-11-03T00:17:51Z,Filling Harry Reid’s Nevada Senate Seat,By THE EDITORIAL BOARD,"While Joe Heck was serving his party in Congress, Catherine Cortez Masto was fighting for Nevadans battered by the housing crisis."
2016-11-02T14:48:30Z,Anthem CEO Looking Closely at Obamacare Individual Plan Market,By REUTERS,Anthem Inc Chief Executive Officer Joseph Swedish said on Tuesday during a conference call that Anthem is looking closely at the Obamacare individual exchanges for regulatory changes as it decides if it will modify strategy for 2018.
2016-11-02T14:48:27Z,Anthem Says It May Trim Obamacare Participation in 2018,By REUTERS,"U.S. health insurer Anthem Inc on Wednesday raised the prospect of smaller participation in the individual Obamacare exchanges in 2018, saying it would have a market-by-market strategy that hinges on 2017 profitability."
2016-11-02T07:48:54Z,"Clinton, Trump Warn of Dire Consequences if Rival Wins",By THE ASSOCIATED PRESS,"Donald Trump could draw the United States into nuclear war, Hillary Clinton warns. Clinton would plunge the country into a constitutional crisis, he says."
2016-11-01T21:37:13Z,"Clinton, Trump Warn of Dire Consequences if Rival Wins",By THE ASSOCIATED PRESS,"Donald Trump could draw the United States into nuclear war, Hillary Clinton warns. Clinton would plunge the country into a constitutional crisis, he says."
2016-11-01T17:22:29Z,"Hillary Clinton, Moving Past F.B.I. Review, Turns Focus to Attacks on Donald Trump",By MATT FLEGENHEIMER and YAMICHE ALCINDOR,Mrs. Clinton’s remarks in Florida signaled the campaign’s direction in the homestretch: a barrage intended to disqualify Mr. Trump with brutal efficiency.
2016-11-01T17:07:38Z,"After Trump, an Evangelical Examination of Conscience?",By THE ASSOCIATED PRESS,"Evangelicals, deeply divided over Donald Trump, are wrestling with what the tumultuous 2016 election will mean for their future."
2016-11-01T13:45:30Z,Clinton Camp Says FBI Should Say What It Knows About Trump's Russia Ties,By REUTERS,"A top aide to Hillary Clinton urged the FBI on Tuesday to disclose what it knows about any ties between Donald Trump and Russia, accusing the agency of unfairly publicizing its inquiry into Clinton's email practices while staying quiet about the Republican presidential candidate."
2016-11-01T13:16:01Z,The Latest: Nevada Senate Candidate May Reverse on Trump,By THE ASSOCIATED PRESS,The Latest on the U.S. presidential race (all times EDT):
2016-11-01T11:00:26Z,Need to Pick an Insurance Plan? Start Here,By MARGOT SANGER-KATZ,Insurance is a hard product to buy. Here’s The Upshot’s simplified guide to finding the plan that’s right for you.
2016-11-01T08:03:38Z,"Race Tightening, Clinton Revives Trump-Women Issue",By THE ASSOCIATED PRESS,"With just a week to go and the race for the White House tightening, Hillary Clinton &#8212; with help from President Barack Obama &#8212; unleashed a fresh offensive Tuesday against Donald Trump and his vulgar comments about women. Trump strove to blend a quieter, presidential tone with his usual tough rhetoric, warning that a Clinton victory would ""destroy American health care forever."""
2016-11-01T00:21:14Z,What Happens to the Markets if Donald Trump Wins?,By ANDREW ROSS SORKIN,"A Trump victory probably would lead to an immediate market sell-off, the direction in the days and weeks that follow is not clear."
2016-10-31T09:55:13Z,Making Sense of the Two Candidates’ Plans on Student Debt,By NEIL IRWIN,The challenge of making college affordable is front and center on the political stage. Donald J. Trump and Hillary Clinton have different philosophies of government to reduce the burden.
2016-10-29T17:44:36Z,Increase in Health Act Premiums May Affect Arizona Vote,By ABBY GOODNOUGH,"Republican candidates here seized on the rate hikes, counting on the issue to buoy them with Election Day imminent and Donald J. Trump losing ground."
2016-10-28T12:24:32Z,The Simple Fix for Obamacare,By DAVID LEONHARDT,The recent spike in premiums is a problem that could be easily solved by a functioning Congress.
2016-10-28T07:21:25Z,Obamacare Hits a Pothole,By PAUL KRUGMAN,"The news about premium hikes is bad, but not nearly as bad as some critics would have you believe."
2016-10-28T07:21:04Z,Maggie Hassan Is the Right Choice for New Hampshire,By THE EDITORIAL BOARD,"The popular Democratic governor, running for Senate, is a pragmatist who puts her state before party politics."
2016-10-27T22:06:32Z,Obama Rallies Obamacare Troops at 'Critical Time' for Program,By REUTERS,"President Barack Obama on Thursday urged more than 25,000 volunteers and advocates who dialed in to a White House conference call to pull out the stops to boost the number of people signing up for Obamacare health insurance plans."
2016-10-27T17:25:49Z,The Lonely Life of a Republican Woman,By S.E. CUPP,Women would have to be lobotomized to believe anything the party of Trump tells them.
2016-10-27T07:52:01Z,Policy Prescriptions: Clinton and Trump on Health Care,By THE ASSOCIATED PRESS,"Hillary Clinton has been involved in the nation's health care debate for more than 20 years and, as her campaign likes to say, she has the scars to prove it."
2016-10-27T07:45:59Z,Trump Hits 'Corrupt' Hillary Clinton; Mrs. Obama Hugs Her,By THE ASSOCIATED PRESS,"Trailing with time running out, Donald Trump denounced both Hillary and Bill Clinton Thursday as creatures of a corrupt political system who would use another pass at the Oval Office to enrich themselves at the expense of American families. Clinton turned to popular first lady Michelle Obama to rally voters in North Carolina, a state that could deliver a knockout blow to Trump."
2016-10-27T07:21:27Z,The Dark Days of Donald Trump,By GAIL COLLINS,The half-minute candidate takes care of business.
2016-10-26T19:53:34Z,Health Premium News Gives Attacks to GOP Senate Candidates,By THE ASSOCIATED PRESS,Republican Senate candidates are jumping on news of sharply rising premiums under President Barack Obama's health care law as they seek advantage in the closing days of the election.
2016-10-26T19:27:56Z,Rising Premiums for Obamacare,NA,Readers discuss how to keep health insurance affordable and the presidential candidates’ views on the issue.
2016-10-25T22:00:08Z,"Clinton, Trump, Cubs: Your Tuesday Evening Briefing",By KAREN ZRAICK and SANDRA STEVENSON,Here’s what you need to know at the end of the day.
2016-10-25T20:57:11Z,Universal Health Care Experiment a Tough Sell in Colorado,By THE ASSOCIATED PRESS,The closing days of the push to make Colorado the nation's first state with universal health care are showing why supporters face such steep odds.
2016-10-25T20:26:50Z,"Mosul, Heathrow, Quetta: Your Wednesday Briefing",By CHARLES McDERMID,Here’s what you need to know to start your day.
2016-10-25T17:55:45Z,"Seizing on Rising Costs, Trump Says Health Law Is ‘Over’",By PATRICK HEALY and ABBY GOODNOUGH,"The Trump campaign, desperate for a winning political issue in the final two weeks of the race, mounted an offensive against the Affordable Care Act."
2016-10-25T17:46:53Z,A Quick Guide to Rising Obamacare Rates,By REED ABELSON and MARGOT SANGER-KATZ,What you need to know on who will be affected and what can be done about it.
2016-10-25T07:48:45Z,"Trump, GOP Look to 'Obamacare' Report as Comeback Lifeline",By THE ASSOCIATED PRESS,"Suddenly armed with fresh political ammunition, Donald Trump and anxious Republicans across the nation seized on spiking health care costs Tuesday in a final-days effort to spark election momentum."
2016-10-25T07:40:00Z,Obama Health Plan Hit by Double-Digit Premium Hikes,By THE ASSOCIATED PRESS,"Premiums will go up sharply next year under President Barack Obama's health care law, and many consumers will be down to just one insurer, the administration confirmed Monday. That's sure to stoke another ""Obamacare"" controversy days before a presidential election."
2016-10-25T07:27:56Z,Policy Prescriptions: Trump and Clinton on Economic Growth,By THE ASSOCIATED PRESS,"Few Americans feel satisfied with the state of the U.S. economy, making it a central focus in the presidential election between Democrat Hillary Clinton and Republican Donald Trump."
2016-10-25T05:15:42Z,"Clinton Warns Against Complacency, Trump Warns of World War Three",By REUTERS,Democratic presidential candidate Hillary Clinton warned her supporters on Tuesday against complacency as opinion polls show her holding a clear lead over Republican rival Donald Trump with two weeks left until the Nov. 8 election.
2016-10-25T05:03:28Z,Obama Trolls Trump Over 'Mean Tweet' on Late Night TV,By REUTERS,"President Barack Obama on Monday trolled Republican presidential candidate Donald Trump - known for his prolific use of Twitter to settle scores - making Trump the punch line for jokes on ABC's late-night show ""Jimmy Kimmel Live."""
2016-10-25T00:24:31Z,U.S. Government Says Benchmark 2017 Healthcare.gov Premiums Up 25 Percent,By REUTERS,"The average premium for benchmark 2017 Obamacare insurance plans sold on Healthcare.gov rose 25 percent compared with 2016, the U.S. government said on Monday, the biggest increase since the insurance first went on sale in 2013 for the following year."
2016-10-24T21:04:48Z,Obama Administration Confirms Double-Digit Premium Hikes,By THE ASSOCIATED PRESS,"Premiums will go up sharply next year under President Barack Obama's health care law, and many consumers will be down to just one insurer, the administration confirmed Monday. That's sure to stoke another ""Obamacare"" controversy days before a presidential election."
2016-10-24T10:47:04Z,Why the U.S. Still Trails Many Wealthy Nations in Access to Care,By AARON E. CARROLL,"Despite progress with Obamacare, things are likely to get worse before they get better."
2016-10-24T09:39:36Z,10 Things to Know for Tuesday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Tuesday:"
2016-10-24T07:48:51Z,"WHERE THEY STAND: Clinton, Trump on the Issues",By THE ASSOCIATED PRESS,A look at where Hillary Clinton and Donald Trump stand on three dozen issues:
2016-10-24T07:21:24Z,Struggling to Serve at the Nation’s Richest University,By ROSA INES RIVERA,We Harvard dining hall workers are on strike because we can’t afford to pay more for health care.
2016-10-24T04:30:31Z,Obama Trolls Trump Over 'Mean Tweet' on Late Night TV,By REUTERS,"President Barack Obama on Monday trolled Republican presidential candidate Donald Trump - known for his prolific use of Twitter to settle scores - making Trump the punch line for jokes on ABC's late-night show ""Jimmy Kimmel Live."""
2016-10-24T00:28:58Z,"Turn Onto Old Dixie. After a Long, Rocky Stretch, It Becomes Obama Highway.",By DAN BARRY,"A main thoroughfare in the predominantly black town of Riviera Beach, Fla., was once called Old Dixie Highway. But now the road has a new name: President Barack Obama Highway."
2016-10-23T17:58:01Z,"WHERE THEY STAND: Clinton, Trump on the Issues",By THE ASSOCIATED PRESS,A look at where Hillary Clinton and Donald Trump stand on three dozen issues:
2016-10-22T20:17:16Z,Donald Trump Pledges to ‘Heal Divisions’ (and Sue His Accusers),By ASHLEY PARKER and AMY CHOZICK,"Mr. Trump went to Gettysburg, Pa., for what was supposed to be a major policy speech. He spent much of it dwelling on grievances."
2016-10-22T17:27:31Z,"Trump Uses Policy Speech to Attack Media, Promises to Sue Accusers",By REUTERS,"U.S. Republican presidential candidate Donald Trump promised on Saturday to foil a proposed deal for AT&amp;T to buy Time Warner if he wins the Nov. 8 election, arguing it was an example of a ""power structure"" rigged against both him and voters. "
2016-10-22T08:33:46Z,"WHERE THEY STAND: Clinton, Trump on the Issues",By THE ASSOCIATED PRESS,A look at where Hillary Clinton and Donald Trump stand on three dozen issues:
2016-10-22T07:22:17Z,Off His Message Again: Trump Vows to Sue All Female Accusers,By THE ASSOCIATED PRESS,"Steering his campaign toward controversy yet again, Donald Trump vowed Saturday to sue every woman who has accused him of sexual assault or other inappropriate behavior. He called them ""liars"" whose allegations he blamed Democrats for orchestrating."
2016-10-22T07:22:02Z,WHY IT MATTERS: The Role of Government,By THE ASSOCIATED PRESS,"THE ISSUE: It's the Goldilocks conundrum of American politics: Is the federal government too big, too small or just right?"
2016-10-22T06:09:36Z,WHY IT MATTERS: Health Care,By THE ASSOCIATED PRESS,"THE ISSUE : About 9 in 10 Americans now have health insurance, more than at any time in history. But progress is incomplete, and the future far from certain. Millions remain uninsured. Quality is still uneven. Costs are high and trending up again. Medicare's insolvency is two years closer, now projected in 2028. Every family has a stake."
2016-10-21T12:00:29Z,Men Need Help. Is Hillary Clinton the Answer?,By SUSAN CHIRA,We need “pink collar jobs” for everyone.
2016-10-21T07:21:23Z,"Katie McGinty, the Best Choice for the Senate in Pennsylvania",By THE EDITORIAL BOARD,"Katie McGinty would be a senator more concerned with workers and the environment than the incumbent, Pat Toomey."
2016-10-20T04:18:10Z,Transcript of the Third Debate,NA,"Following is a transcript of the third presidential debate, on Wednesday, as transcribed by CQ Transcriptswire."
2016-10-20T04:03:31Z,Obama Says His Departure May Fix What Ails Obamacare,By REUTERS,President Barack Obama said on Thursday that his departure from office in January might be what it takes to begin to heal the political scars over Obamacare and allow for needed fixes to his signature healthcare law.
2016-10-19T18:30:19Z,"As Health Markets Struggle, 9% Average Rise in Enrollment Is Predicted",By ROBERT PEAR,The Obama administration is confident of an increase despite increases in the costs of premiums and several major insurers leaving.
2016-10-19T14:46:04Z,U.S. Government Sees 1 Million More People on Obamacare Exchanges in 2017,By REUTERS,"The U.S. Health and Human Services Department estimates that 1  million more people will sign up for health insurance on the Obamacare exchanges for 2017 compared with 2016, a department official told reporters on Wednesday."
2016-10-19T01:10:21Z,"Bayh, Young Keep Up Biting Attacks During Senate Debate",By THE ASSOCIATED PRESS,"Democrats this campaign season have gleefully attacked as their Republican opponents awkwardly try to distance themselves from Donald Trump, the party's provocative presidential nominee."
2016-10-18T12:06:30Z,UnitedHealth Sees More Growth in 2017 When It Exits Obamacare,By REUTERS,"UnitedHealth Group Inc, the largest U.S. health insurer, on Tuesday raised the possibility of stronger profit growth in 2017 as it exits the government-subsidized insurance market commonly known as Obamacare, encouraging investors who have been negative on the sector.   "
2016-10-18T10:06:31Z,"How Trump, Clinton Would Fix the 'Crazy' U.S. Health System",By REUTERS,"When former President Bill Clinton called parts of Obamacare ""crazy,"" he put his wife Hillary Clinton on the defensive and gave much-needed ammunition to her Republican rival for the presidency, Donald Trump, who wants to scrap it."
2016-10-18T07:21:05Z,Is the Election a Morality Play or Just Reality TV?,By ARTHUR C. BROOKS and GAIL COLLINS,"All year we said it might come to this, and now it has."
2016-10-17T11:00:04Z,Savings? Yes. But Narrow Health Networks Also Show Troubling Signs.,By AUSTIN FRAKT,"Consumers should welcome the lower premiums offered, but a recent study showed a disregard for customers."
2016-10-17T07:21:22Z,Their Dark Fantasies,By PAUL KRUGMAN,Why do Republicans hate America? Their vision of the country is at odds with the reality.
2016-10-15T06:51:22Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-10-14T07:23:39Z,"Some Republican Officials Stick With Trump, Cite the Issues",By THE ASSOCIATED PRESS,Some key Republican officeholders and candidates are reaffirming their support for Donald Trump despite new allegations from women that he groped and assaulted them. The Republicans argue that Trump would still be better on key issues like energy and the Supreme Court than Democrat Hillary Clinton.
2016-10-13T20:21:09Z,"Some Republican Officials Stick With Trump, Cite the Issues",By THE ASSOCIATED PRESS,Some key Republican officeholders and candidates reaffirmed their support for Donald Trump Thursday despite new allegations from women that he groped and assaulted them. The Republicans argued that Trump would still be better on key issues like energy and the Supreme Court than Democrat Hillary Clinton.
2016-10-13T04:00:00Z,What Donald Trump Is Right About,By NICHOLAS KRISTOF,"Actions count more than words, and his are heinous."
2016-10-12T04:00:00Z,Trump Has Democrats Dreaming,By DAVID LEONHARDT,They’ve begun to dream of winning not only the White House and Senate but the House of Representatives too.
2016-10-12T04:00:00Z,Can the U.S. Win This Election?,By THOMAS L. FRIEDMAN,It will be a tragedy if little changes after all we’ve gone through.
2016-10-11T04:00:00Z,"When They Go Low, Do We Have to Go, Too?",By ARTHUR C. BROOKS and GAIL COLLINS,Brooks and Collins on the debate we could be having and the one we are actually having.
2016-10-10T04:00:00Z,"Trump’s Second Debate, in Brief",By DAVID LEONHARDT,He just lies. Relentlessly.
2016-10-10T04:00:00Z,Transcript of the Second Debate,NA,"Following is a transcript of the second presidential debate at Washington University in St. Louis, as transcribed by CQ Transcriptswire."
2016-10-10T02:24:35Z,AP FACT CHECK: Trump Overstates Cost of Obama's Health Plan,By THE ASSOCIATED PRESS,A claim from the second presidential debate and how it stacks up with the facts:
2016-10-10T01:59:23Z,The Second Presidential Debate,By NICHOLAS KRISTOF,
2016-10-10T00:57:51Z,The Latest: Updates From the 2nd Clinton-Trump Debate,By THE ASSOCIATED PRESS,The Latest on the second presidential debate between Hillary Clinton and Donald Trump (all times EDT):
2016-10-10T04:00:00Z,What Does Weld Say? Real-Time Reaction From a Libertarian,NA,"William Weld, the Libertarian Party’s vice-presidential nominee, chatted with us via emails throughout the debate."
2016-10-08T06:58:40Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-10-07T09:08:04+0000,Civil Conversation Challenge for Teenagers | Issue 5: Your Choice,By KATHERINE SCHULTEN,What issue have we not covered in our Challenge so far that you’d like to address?
2016-10-06T04:00:00Z,Transcript of the 2016 Debate Between the Running Mates,NA,"Following is a transcript of the vice-presidential debate on Tuesday, as transcribed by the Federal News Service."
2016-10-05T02:36:42Z,Clinton Hits Trump Over Comments on Women Ahead of Vice Presidential Debate,By REUTERS,"Democrat Hillary Clinton slammed Republican Donald Trump on Tuesday for making disparaging comments about women's physical appearance, accusing Trump of taking the issue of female body image ""to a new level of difficulty and meanness."""
2016-10-05T02:10:07Z,"AP FACT CHECK: Pence Condemns, Embraces Obamacare",By THE ASSOCIATED PRESS,"A claim from the vice presidential debate between Republican Mike Pence and Democrat Tim Kaine, and how it stacks up with the facts:"
2016-10-04T18:34:26Z,"After Riff, Bill Clinton Reaffirms Health-Care Law Support",By THE ASSOCIATED PRESS,"Bill Clinton tried to avoid muddling his message again as he campaigned for his wife in battleground Ohio a day after he described President Barack Obama's health care law and the resulting insurance markets as ""the craziest thing in the world."""
2016-10-04T10:48:02Z,The Latest: Obama to Head to Chicago to Raise Cash for Dems,By THE ASSOCIATED PRESS,The Latest on the presidential race between Republican Donald Trump and Democrat Hillary Clinton (all times EDT):
2016-10-04T09:27:50Z,Clinton Reaches Out to Women While Trump Defends Taxes,By THE ASSOCIATED PRESS,Hillary Clinton appealed to voting mothers Tuesday outlining ways she hopes to curb gun violence as president and provide paid family leave and sick days for struggling working moms. Donald Trump tried to blame his opponent about revelations that his massive financial losses could have allowed him to avoid paying federal income taxes for years.
